pl_name,disc_year,discoverymethod
"Kepler-1167 b",2016,"Transit"
"Kepler-1740 b",2021,"Transit"
"Kepler-1581 b",2016,"Transit"
"Kepler-644 b",2016,"Transit"
"Kepler-1752 b",2021,"Transit"
"Kepler-280 c",2014,"Transit"
"Kepler-1208 b",2016,"Transit"
"Kepler-263 c",2014,"Transit"
"Kepler-1101 b",2016,"Transit"
"HD 168746 b",2002,"Radial Velocity"
"TOI-2406 b",2021,"Transit"
"HD 18599 b",2022,"Transit"
"Kepler-560 b",2016,"Transit"
"Kepler-150 d",2014,"Transit"
"Kepler-498 b",2016,"Transit"
"Kepler-817 b",2016,"Transit"
"Kepler-937 b",2016,"Transit"
"K2-10 b",2015,"Transit"
"Kepler-571 b",2016,"Transit"
"Kepler-1458 b",2016,"Transit"
"Kepler-1600 c",2021,"Transit"
"Kepler-221 d",2014,"Transit"
"Kepler-626 b",2016,"Transit"
"Kepler-1549 b",2016,"Transit"
"K2-62 c",2016,"Transit"
"Kepler-1149 b",2016,"Transit"
"Kepler-1288 b",2016,"Transit"
"Kepler-128 b",2013,"Transit"
"Kepler-1245 b",2016,"Transit"
"Kepler-1068 b",2016,"Transit"
"Kepler-150 e",2014,"Transit"
"Kepler-272 c",2014,"Transit"
"Kepler-152 c",2014,"Transit"
"Kepler-1506 b",2016,"Transit"
"CoRoT-3 b",2008,"Transit"
"HD 205739 b",2008,"Radial Velocity"
"HD 224693 b",2006,"Radial Velocity"
"HD 16417 b",2008,"Radial Velocity"
"HD 19994 b",2003,"Radial Velocity"
"GJ 179 b",2009,"Radial Velocity"
"GQ Lup b",2004,"Imaging"
"HD 37605 b",2004,"Radial Velocity"
"HD 33283 b",2006,"Radial Velocity"
"HD 9446 b",2009,"Radial Velocity"
"HD 134987 c",2009,"Radial Velocity"
"HD 110014 b",2009,"Radial Velocity"
"HD 79498 b",2011,"Radial Velocity"
"HD 45652 b",2008,"Radial Velocity"
"HIP 79431 b",2009,"Radial Velocity"
"GJ 876 b",1998,"Radial Velocity"
"HD 86226 b",2009,"Radial Velocity"
"HD 47186 c",2008,"Radial Velocity"
"HD 148156 b",2009,"Radial Velocity"
"HD 86226 c",2020,"Transit"
"HIP 14810 c",2006,"Radial Velocity"
"HIP 14810 b",2005,"Radial Velocity"
"GJ 876 d",2005,"Radial Velocity"
"GJ 876 e",2010,"Radial Velocity"
"gam1 Leo b",2009,"Radial Velocity"
"HD 156411 b",2009,"Radial Velocity"
"HD 8535 b",2010,"Radial Velocity"
"HD 37605 c",2012,"Radial Velocity"
"HD 1605 c",2015,"Radial Velocity"
"BD+20 2457 b",2009,"Radial Velocity"
"HD 240210 b",2009,"Radial Velocity"
"CoRoT-17 b",2011,"Transit"
"HD 132563 b",2011,"Radial Velocity"
"HD 55696 b",2018,"Radial Velocity"
"HD 148164 b",2018,"Radial Velocity"
"24 Sex c",2010,"Radial Velocity"
"HD 22781 b",2011,"Radial Velocity"
"HD 148164 c",2018,"Radial Velocity"
"HD 90156 b",2009,"Radial Velocity"
"HD 45350 b",2004,"Radial Velocity"
"MOA-2009-BLG-266L b",2011,"Microlensing"
"Kepler-595 c",2020,"Transit"
"Kepler-595 b",2016,"Transit"
"HD 177830 c",2010,"Radial Velocity"
"OGLE-TR-111 b",2004,"Transit"
"PSR B1257+12 b",1994,"Pulsar Timing"
"PSR B1257+12 d",1992,"Pulsar Timing"
"HD 21749 c",2019,"Transit"
"eps Ind A b",2019,"Radial Velocity"
"CoRoT-18 b",2011,"Transit"
"Kepler-45 b",2011,"Transit"
"WASP-23 b",2010,"Transit"
"HD 107148 b",2005,"Radial Velocity"
"SWEEPS-11 b",2006,"Transit"
"OGLE-TR-211 b",2007,"Transit"
"Lupus-TR-3 b",2007,"Transit"
"OGLE-2005-BLG-390L b",2005,"Microlensing"
"HN Peg b",2006,"Imaging"
"MOA-2009-BLG-387L b",2010,"Microlensing"
"GJ 674 b",2007,"Radial Velocity"
"CoRoT-11 b",2010,"Transit"
"2MASS J04414489+2301513 b",2010,"Imaging"
"GJ 3634 b",2010,"Radial Velocity"
"CoRoT-13 b",2010,"Transit"
"OGLE-TR-10 b",2004,"Transit"
"HD 27442 b",2000,"Radial Velocity"
"GJ 3021 b",2000,"Radial Velocity"
"CoRoT-8 b",2010,"Transit"
"Kepler-18 c",2011,"Transit"
"Kepler-18 b",2011,"Transit"
"HD 46375 b",2000,"Radial Velocity"
"HD 221287 b",2007,"Radial Velocity"
"HD 33564 b",2005,"Radial Velocity"
"HD 189733 b",2005,"Radial Velocity"
"Kepler-4 b",2009,"Transit"
"WASP-38 b",2010,"Transit"
"Kepler-30 c",2012,"Transit"
"Kepler-18 d",2011,"Transit"
"HAT-P-37 b",2011,"Transit"
"HD 129445 b",2009,"Radial Velocity"
"Kepler-419 c",2014,"Transit Timing Variations"
"HD 70573 b",2007,"Radial Velocity"
"HD 47536 b",2002,"Radial Velocity"
"WASP-67 b",2012,"Transit"
"CoRoT-14 b",2010,"Transit"
"MOA-2008-BLG-310L b",2009,"Microlensing"
"Kepler-419 b",2014,"Transit"
"WASP-43 b",2011,"Transit"
"HD 11964 c",2008,"Radial Velocity"
"CoRoT-6 b",2009,"Transit"
"WASP-31 b",2010,"Transit"
"HD 108236 f",2021,"Transit"
"Kepler-59 c",2012,"Transit"
"WASP-8 c",2013,"Radial Velocity"
"HD 154857 c",2014,"Radial Velocity"
"KOI-217 b",2010,"Transit"
"Kepler-416 b",2014,"Transit Timing Variations"
"Kepler-37 e",2014,"Transit Timing Variations"
"HAT-P-22 b",2010,"Transit"
"CHXR 73 b",2006,"Imaging"
"FU Tau b",2008,"Imaging"
"GJ 667 C b",2012,"Radial Velocity"
"HD 187123 b",1998,"Radial Velocity"
"HAT-P-18 b",2010,"Transit"
"Kepler-59 b",2012,"Transit"
"Kepler-53 b",2012,"Transit"
"HD 82943 c",2003,"Radial Velocity"
"HD 82943 b",2003,"Radial Velocity"
"UZ For b",2011,"Eclipse Timing Variations"
"Kepler-69 b",2013,"Transit"
"HIP 5158 c",2011,"Radial Velocity"
"HU Aqr AB b",2011,"Eclipse Timing Variations"
"Kepler-58 c",2012,"Transit"
"Kepler-30 b",2012,"Transit"
"Kepler-65 d",2012,"Transit"
"Kepler-52 c",2012,"Transit"
"Kepler-55 b",2012,"Transit"
"UZ For c",2011,"Eclipse Timing Variations"
"Kepler-413 b",2014,"Transit"
"WASP-14 b",2008,"Transit"
"HAT-P-2 b",2007,"Transit"
"HAT-P-42 b",2012,"Transit"
"WASP-59 b",2012,"Transit"
"HAT-P-39 b",2012,"Transit"
"alf Ari b",2010,"Radial Velocity"
"KOI-55 b",2011,"Orbital Brightness Modulation"
"GJ 536 b",2016,"Radial Velocity"
"WTS-2 b",2014,"Transit"
"KELT-6 c",2015,"Radial Velocity"
"KOI-55 c",2011,"Orbital Brightness Modulation"
"Ross 458 c",2010,"Imaging"
"Kepler-38 b",2012,"Transit"
"HD 114783 b",2001,"Radial Velocity"
"HAT-P-13 b",2009,"Transit"
"ROXs 42 B b",2013,"Imaging"
"HD 95086 b",2013,"Imaging"
"RR Cae b",2012,"Eclipse Timing Variations"
"Kepler-50 c",2012,"Transit"
"HD 233604 b",2013,"Radial Velocity"
"WD 0806-661 b",2011,"Imaging"
"Kepler-63 b",2013,"Transit"
"Kepler-77 b",2013,"Transit"
"HAT-P-44 c",2014,"Radial Velocity"
"HATS-5 b",2014,"Transit"
"HD 10180 d",2010,"Radial Velocity"
"WTS-1 b",2012,"Transit"
"Kepler-297 c",2014,"Transit"
"Kepler-347 b",2014,"Transit"
"CoRoT-26 b",2013,"Transit"
"CoRoT-25 b",2013,"Transit"
"Kepler-186 b",2014,"Transit"
"91 Aqr b",2013,"Radial Velocity"
"GJ 163 b",2013,"Radial Velocity"
"Kepler-27 c",2011,"Transit"
"Kepler-27 b",2011,"Transit"
"Kepler-139 c",2014,"Transit"
"Kepler-311 c",2014,"Transit"
"BD-06 1339 b",2013,"Radial Velocity"
"Kepler-186 d",2014,"Transit"
"Kepler-11 d",2010,"Transit"
"Kepler-11 b",2010,"Transit"
"Kepler-31 c",2011,"Transit"
"Kepler-32 c",2011,"Transit"
"Kepler-1735 b",2021,"Transit"
"HD 66141 b",2012,"Radial Velocity"
"HD 208527 b",2012,"Radial Velocity"
"MOA-bin-1L b",2012,"Microlensing"
"GU Psc b",2014,"Imaging"
"GJ 163 c",2013,"Radial Velocity"
"GJ 163 d",2013,"Radial Velocity"
"Kepler-32 d",2012,"Transit"
"Kepler-31 d",2014,"Transit"
"HAT-P-45 b",2014,"Transit"
"HAT-P-44 b",2014,"Transit"
"MOA-2010-BLG-073L b",2012,"Microlensing"
"HAT-P-27 b",2011,"Transit"
"DENIS-P J082303.1-491201 b",2013,"Astrometry"
"HIP 63242 b",2013,"Radial Velocity"
"Kepler-31 b",2011,"Transit"
"Kepler-32 f",2012,"Transit"
"Kepler-58 d",2014,"Transit"
"Kepler-158 b",2014,"Transit"
"Kepler-424 c",2014,"Radial Velocity"
"KMT-2023-BLG-1896L b",2025,"Microlensing"
"HD 190984 b",2009,"Radial Velocity"
"Kepler-134 c",2014,"Transit"
"Kepler-210 b",2014,"Transit"
"Kepler-422 b",2014,"Transit"
"Kepler-426 b",2014,"Transit"
"Kepler-16 b",2011,"Transit"
"KOI-94 d",2013,"Transit"
"KOI-94 b",2013,"Transit"
"Kepler-35 b",2011,"Transit"
"HD 103774 b",2013,"Radial Velocity"
"HD 109271 b",2013,"Radial Velocity"
"Kepler-415 c",2014,"Transit Timing Variations"
"HD 50554 b",2002,"Radial Velocity"
"Kepler-428 b",2014,"Transit"
"Kepler-425 b",2014,"Transit"
"WASP-70 A b",2014,"Transit"
"KOI-94 e",2013,"Transit"
"Kepler-396 c",2013,"Transit"
"MOA-2010-BLG-477L b",2012,"Microlensing"
"Kepler-290 c",2014,"Transit"
"Kepler-290 b",2014,"Transit"
"HD 166724 b",2012,"Radial Velocity"
"Kepler-122 f",2014,"Transit Timing Variations"
"Kepler-96 b",2014,"Transit"
"KOI-13 b",2011,"Transit"
"Kepler-17 b",2011,"Transit"
"Kepler-784 b",2016,"Transit"
"Kepler-880 b",2016,"Transit"
"CoRoT-23 b",2011,"Transit"
"BD+20 274 b",2012,"Radial Velocity"
"HD 219415 b",2012,"Radial Velocity"
"HD 150706 b",2012,"Radial Velocity"
"OGLE-2011-BLG-0251L b",2012,"Microlensing"
"Kepler-414 c",2014,"Transit Timing Variations"
"HAT-P-1 b",2006,"Transit"
"Kepler-42 c",2011,"Transit"
"Kepler-33 c",2011,"Transit"
"Kepler-641 b",2016,"Transit"
"Kepler-410 A b",2013,"Transit"
"Kepler-314 c",2014,"Transit"
"Kepler-879 b",2016,"Transit"
"Kepler-865 b",2016,"Transit"
"Kepler-415 b",2014,"Transit Timing Variations"
"Kepler-338 e",2014,"Transit Timing Variations"
"Kepler-33 e",2011,"Transit"
"Kepler-33 b",2011,"Transit"
"Kepler-46 c",2012,"Transit Timing Variations"
"Kepler-318 b",2014,"Transit"
"Kepler-314 b",2014,"Transit"
"Kepler-46 b",2012,"Transit"
"USco CTIO 108 b",2008,"Imaging"
"Kepler-130 c",2014,"Transit"
"Kepler-418 b",2014,"Transit"
"Kepler-33 f",2011,"Transit"
"Kepler-33 d",2011,"Transit"
"HD 155358 c",2007,"Radial Velocity"
"Kepler-52 b",2012,"Transit"
"Kepler-603 c",2016,"Transit"
"Kepler-952 b",2016,"Transit"
"Kepler-347 c",2014,"Transit"
"Kepler-158 c",2014,"Transit"
"HAT-P-53 b",2015,"Transit"
"HIP 74890 b",2016,"Radial Velocity"
"V0391 Peg b",2007,"Pulsation Timing Variations"
"HD 197037 b",2012,"Radial Velocity"
"CFBDSIR J145829+101343 b",2011,"Imaging"
"Kepler-269 b",2014,"Transit"
"Kepler-300 c",2014,"Transit"
"Kepler-149 d",2014,"Transit"
"Kepler-124 d",2014,"Transit"
"Kepler-276 d",2013,"Transit"
"Kepler-114 c",2013,"Transit"
"XO-2 S c",2014,"Radial Velocity"
"Kepler-93 c",2014,"Radial Velocity"
"WASP-83 b",2015,"Transit"
"WASP-89 b",2015,"Transit"
"Kepler-402 c",2014,"Transit"
"Kepler-157 b",2014,"Transit"
"HATS-6 b",2015,"Transit"
"Kepler-450 c",2015,"Transit"
"Kepler-81 c",2012,"Transit"
"Kepler-412 b",2014,"Transit"
"Kepler-92 b",2013,"Transit"
"Kepler-288 c",2014,"Transit"
"Kepler-295 b",2014,"Transit"
"Kepler-178 d",2014,"Transit"
"Kepler-44 b",2011,"Transit"
"Kepler-41 b",2011,"Transit"
"Kepler-450 d",2015,"Transit"
"POTS-1 b",2013,"Transit"
"Kepler-350 d",2013,"Transit"
"Kepler-238 f",2013,"Transit"
"Kepler-287 c",2014,"Transit"
"Kepler-285 b",2014,"Transit"
"Kepler-181 b",2014,"Transit"
"Kepler-1398 c",2016,"Transit"
"Kepler-963 b",2016,"Transit"
"WASP-24 b",2010,"Transit"
"WASP-21 b",2010,"Transit"
"TOI-237 b",2020,"Transit"
"K2-237 b",2018,"Transit"
"Kepler-284 b",2014,"Transit"
"Kepler-654 b",2016,"Transit"
"Kepler-199 c",2014,"Transit"
"Kepler-214 b",2014,"Transit"
"Kepler-87 b",2013,"Transit"
"Kepler-75 b",2013,"Transit"
"Kepler-74 b",2013,"Transit"
"Kepler-145 c",2013,"Transit"
"Kepler-328 b",2013,"Transit"
"Kepler-115 c",2014,"Transit"
"Kepler-341 c",2014,"Transit"
"Kepler-225 b",2014,"Transit"
"Kepler-871 b",2016,"Transit"
"Kepler-56 c",2012,"Transit"
"XO-5 b",2008,"Transit"
"Kepler-447 b",2015,"Transit"
"Kepler-216 b",2014,"Transit"
"Kepler-259 c",2014,"Transit"
"Kepler-293 b",2014,"Transit"
"Kepler-291 b",2014,"Transit"
"Kepler-242 c",2014,"Transit"
"Kepler-240 b",2014,"Transit"
"Kepler-56 b",2012,"Transit"
"WASP-16 b",2009,"Transit"
"WASP-17 b",2009,"Transit"
"WASP-18 b",2009,"Transit"
"HAT-P-54 b",2015,"Transit"
"Kepler-148 c",2014,"Transit"
"Kepler-179 b",2014,"Transit"
"Kepler-303 b",2014,"Transit"
"Kepler-260 b",2014,"Transit"
"Kepler-226 b",2014,"Transit"
"WASP-26 b",2010,"Transit"
"WASP-33 b",2010,"Transit"
"HATS-14 b",2015,"Transit"
"Kepler-1162 b",2016,"Transit"
"Kepler-1126 b",2016,"Transit"
"Kepler-165 c",2014,"Transit"
"Kepler-197 d",2014,"Transit"
"Kepler-125 b",2014,"Transit"
"Kepler-306 c",2014,"Transit"
"KOI-351 e",2013,"Transit"
"KOI-351 c",2013,"Transit"
"Kepler-222 c",2014,"Transit"
"Kepler-184 d",2014,"Transit"
"Kepler-309 b",2014,"Transit"
"Kepler-696 b",2016,"Transit"
"Kepler-11 f",2010,"Transit"
"Kepler-11 e",2010,"Transit"
"Kepler-11 g",2010,"Transit"
"Kepler-166 c",2014,"Transit"
"Kepler-275 b",2014,"Transit"
"Kepler-1298 b",2016,"Transit"
"Kepler-11 c",2010,"Transit"
"WASP-57 b",2012,"Transit"
"HAT-P-50 b",2015,"Transit"
"MOA-2008-BLG-379L b",2013,"Microlensing"
"HD 13908 b",2013,"Radial Velocity"
"Kepler-108 b",2014,"Transit"
"Kepler-264 b",2014,"Transit"
"Kepler-279 b",2014,"Transit"
"Kepler-286 c",2014,"Transit"
"GJ 667 C c",2013,"Radial Velocity"
"HD 13908 c",2013,"Radial Velocity"
"HD 159243 b",2013,"Radial Velocity"
"Kepler-261 b",2014,"Transit"
"HIP 57274 c",2011,"Radial Velocity"
"Kepler-292 d",2014,"Transit"
"GJ 667 C f",2013,"Radial Velocity"
"HD 73526 c",2005,"Radial Velocity"
"HD 106906 b",2013,"Imaging"
"Kepler-119 b",2014,"Transit"
"HD 220074 b",2012,"Radial Velocity"
"Kepler-343 b",2014,"Transit"
"Kepler-282 d",2013,"Transit"
"Kepler-619 b",2016,"Transit"
"Kepler-656 b",2016,"Transit"
"Kepler-273 b",2014,"Transit"
"Kepler-677 b",2016,"Transit"
"Kepler-306 b",2014,"Transit"
"Kepler-267 d",2014,"Transit"
"DP Leo b",2009,"Eclipse Timing Variations"
"Kepler-20 g",2016,"Radial Velocity"
"Kepler-19 c",2011,"Transit Timing Variations"
"HAT-P-34 b",2011,"Transit"
"Kepler-549 c",2016,"Transit"
"Kepler-603 d",2016,"Transit"
"WASP-37 b",2010,"Transit"
"WASP-90 b",2016,"Transit"
"K2-26 b",2016,"Transit"
"Kepler-276 c",2013,"Transit"
"Kepler-305 b",2013,"Transit"
"Kepler-266 b",2014,"Transit"
"Kepler-121 c",2014,"Transit"
"Kepler-338 d",2014,"Transit"
"2MASS J01225093-2439505 b",2013,"Imaging"
"WASP-52 b",2012,"Transit"
"WASP-75 b",2013,"Transit"
"WASP-135 b",2015,"Transit"
"HD 20794 e",2017,"Radial Velocity"
"HD 27894 c",2017,"Radial Velocity"
"Kepler-126 d",2014,"Transit"
"Kepler-381 c",2014,"Transit"
"Kepler-249 d",2014,"Transit"
"Kepler-254 d",2014,"Transit"
"Kepler-619 c",2016,"Transit"
"Kepler-1610 b",2016,"Transit"
"Kepler-363 d",2014,"Transit"
"Kepler-366 b",2014,"Transit"
"Kepler-141 b",2014,"Transit"
"Kepler-142 d",2014,"Transit"
"Kepler-400 b",2014,"Transit"
"Kepler-204 c",2014,"Transit"
"WASP-41 c",2015,"Radial Velocity"
"Kepler-312 c",2014,"Transit"
"Kepler-286 d",2014,"Transit"
"Kepler-91 b",2013,"Transit"
"Kepler-1181 b",2016,"Transit"
"Kepler-1489 b",2016,"Transit"
"Kepler-1491 b",2016,"Transit"
"CoRoT-7 b",2009,"Transit"
"HD 176986 d",2026,"Radial Velocity"
"Kepler-354 b",2014,"Transit"
"Kepler-368 b",2014,"Transit"
"Kepler-135 b",2014,"Transit"
"Kepler-383 b",2014,"Transit"
"HAT-P-66 b",2016,"Transit"
"WASP-118 b",2016,"Transit"
"WASP-7 b",2008,"Transit"
"XO-4 b",2010,"Transit"
"KELT-2 A b",2012,"Transit"
"K2-30 b",2016,"Transit"
"WASP-101 b",2014,"Transit"
"Kepler-104 c",2014,"Transit"
"Kepler-369 c",2014,"Transit"
"Kepler-371 b",2014,"Transit"
"Kepler-147 b",2014,"Transit"
"Kepler-132 d",2014,"Transit"
"Kepler-208 c",2014,"Transit"
"Kepler-487 c",2016,"Transit"
"Kepler-316 c",2014,"Transit"
"Kepler-313 b",2014,"Transit"
"Kepler-372 c",2014,"Transit"
"Kepler-373 b",2014,"Transit"
"HD 176986 c",2017,"Radial Velocity"
"Kepler-151 c",2014,"Transit"
"Kepler-386 c",2014,"Transit"
"Kepler-215 c",2014,"Transit"
"Kepler-404 b",2014,"Transit"
"NGTS-33 b",2024,"Transit"
"OGLE-2018-BLG-1428L b",2021,"Microlensing"
"HAT-P-30 b",2011,"Transit"
"TOI-1288 c",2022,"Radial Velocity"
"Kepler-317 b",2014,"Transit"
"Kepler-319 c",2014,"Transit"
"Kepler-375 c",2014,"Transit"
"Kepler-356 c",2014,"Transit"
"Kepler-387 b",2014,"Transit"
"Kepler-388 b",2014,"Transit"
"Kepler-224 e",2014,"Transit"
"Kepler-226 d",2014,"Transit"
"Kepler-348 b",2014,"Transit"
"Kepler-338 b",2014,"Transit"
"Kepler-376 c",2014,"Transit"
"Kepler-377 c",2014,"Transit"
"Kepler-389 b",2014,"Transit"
"Kepler-118 b",2014,"Transit"
"Kepler-123 c",2014,"Transit"
"Kepler-243 c",2014,"Transit"
"GJ 3470 b",2012,"Radial Velocity"
"Kepler-379 c",2014,"Transit"
"Kepler-112 c",2014,"Transit"
"Kepler-137 c",2014,"Transit"
"Kepler-390 b",2014,"Transit"
"K2-400 b",2022,"Transit"
"HD 6860 b",2023,"Radial Velocity"
"WASP-155 b",2025,"Transit"
"Kepler-351 c",2014,"Transit"
"Kepler-327 b",2014,"Transit"
"Kepler-114 b",2014,"Transit"
"Kepler-358 c",2014,"Transit"
"Kepler-169 c",2014,"Transit"
"Kepler-236 b",2014,"Transit"
"Kepler-141 c",2014,"Transit"
"Kepler-858 b",2016,"Transit"
"Kepler-855 b",2016,"Transit"
"Kepler-321 c",2014,"Transit"
"Kepler-349 b",2014,"Transit"
"Kepler-353 c",2014,"Transit"
"Kepler-359 c",2014,"Transit"
"Kepler-173 b",2014,"Transit"
"K2-29 b",2016,"Transit"
"Kepler-180 b",2014,"Transit"
"Kepler-244 d",2014,"Transit"
"Kepler-254 c",2014,"Transit"
"WASP-92 b",2016,"Transit"
"TOI-6109 b",2025,"Transit"
"Kepler-619 d",2023,"Transit"
"Kepler-138 d",2014,"Transit"
"Kepler-330 c",2014,"Transit"
"Kepler-1243 b",2016,"Transit"
"Kepler-360 b",2014,"Transit"
"Kepler-49 e",2014,"Transit"
"Kepler-140 b",2014,"Transit"
"Kepler-122 d",2014,"Transit"
"HIP 113103 b",2023,"Transit"
"HD 28109 d",2022,"Transit"
"Kepler-37 c",2013,"Transit"
"Kepler-268 c",2014,"Transit"
"Kepler-171 c",2014,"Transit"
"Kepler-133 c",2014,"Transit"
"Kepler-185 b",2014,"Transit"
"WASP-50 b",2011,"Transit"
"HD 167768 b",2022,"Radial Velocity"
"Kepler-346 b",2014,"Transit"
"Kepler-718 b",2016,"Transit"
"Kepler-720 b",2016,"Transit"
"Kepler-1241 b",2016,"Transit"
"Kepler-495 b",2016,"Transit"
"Kepler-281 b",2014,"Transit"
"Kepler-288 b",2014,"Transit"
"Kepler-394 b",2014,"Transit"
"Kepler-189 b",2014,"Transit"
"HD 27894 d",2017,"Radial Velocity"
"TOI-2986 b",2025,"Transit"
"WASP-154 b",2025,"Transit"
"Kepler-1990 c",2023,"Transit"
"Kepler-148 b",2014,"Transit"
"Kepler-178 c",2014,"Transit"
"Kepler-686 b",2016,"Transit"
"Kepler-468 b",2016,"Transit"
"Kepler-953 c",2016,"Transit"
"Kepler-342 b",2014,"Transit"
"Kepler-334 c",2014,"Transit"
"Kepler-291 c",2014,"Transit"
"Kepler-298 c",2014,"Transit"
"Kepler-190 c",2014,"Transit"
"Kepler-191 c",2014,"Transit"
"BD-08 2823 c",2009,"Radial Velocity"
"HD 10180 f",2010,"Radial Velocity"
"Kepler-207 c",2014,"Transit"
"Kepler-224 b",2014,"Transit"
"TOI-5678 b",2023,"Transit"
"TOI-836.01",2021,"Transit"
"HIP 75092 b",2021,"Radial Velocity"
"Kepler-337 c",2014,"Transit"
"Kepler-299 d",2014,"Transit"
"Kepler-953 b",2016,"Transit"
"Kepler-493 b",2016,"Transit"
"Kepler-303 c",2014,"Transit"
"Kepler-137 b",2014,"Transit"
"WASP-77 A b",2012,"Transit"
"HD 22946 d",2023,"Transit"
"Kepler-68 e",2023,"Radial Velocity"
"Kepler-228 b",2014,"Transit"
"Kepler-238 c",2014,"Transit"
"KOI-7368 b",2022,"Transit"
"TOI-6008 b",2024,"Transit"
"Kepler-324 c",2014,"Transit"
"Kepler-188 b",2014,"Transit"
"Kepler-126 b",2014,"Transit"
"HD 134606 c",2024,"Radial Velocity"
"TOI-6324 b",2025,"Transit"
"TOI-1422 b",2022,"Transit"
"Kepler-136 c",2014,"Transit"
"Kepler-198 c",2014,"Transit"
"Kepler-398 b",2014,"Transit"
"Kepler-244 c",2014,"Transit"
"Kepler-247 b",2014,"Transit"
"TOI-5786 b",2025,"Transit"
"KMT-2021-BLG-0192L b",2022,"Microlensing"
"TOI-4914 b",2024,"Transit"
"K2-185 c",2018,"Transit"
"Kepler-301 d",2014,"Transit"
"Kepler-301 c",2014,"Transit"
"Kepler-342 d",2014,"Transit"
"Kepler-191 b",2014,"Transit"
"Kepler-194 d",2014,"Transit"
"Kepler-208 e",2014,"Transit"
"Kepler-344 c",2014,"Transit"
"Kepler-304 d",2014,"Transit"
"Kepler-304 c",2014,"Transit"
"Kepler-81 d",2014,"Transit"
"Kepler-548 b",2016,"Transit"
"Kepler-723 b",2016,"Transit"
"Kepler-197 e",2014,"Transit"
"Kepler-200 c",2014,"Transit"
"Kepler-346 c",2014,"Transit"
"Kepler-350 b",2014,"Transit"
"Kepler-306 e",2014,"Transit"
"Kepler-84 e",2014,"Transit"
"Kepler-265 e",2014,"Transit"
"Kepler-217 c",2014,"Transit"
"Kepler-220 d",2014,"Transit"
"Kepler-351 b",2014,"Transit"
"Kepler-352 b",2014,"Transit"
"Kepler-84 d",2014,"Transit"
"Kepler-310 d",2014,"Transit"
"Kepler-282 b",2014,"Transit"
"Kepler-282 c",2014,"Transit"
"Kepler-220 e",2014,"Transit"
"Kepler-154 c",2014,"Transit"
"Kepler-353 b",2014,"Transit"
"Kepler-85 e",2014,"Transit"
"Kepler-55 e",2014,"Transit"
"Kepler-310 b",2014,"Transit"
"Kepler-286 e",2014,"Transit"
"Kepler-368 c",2014,"Transit"
"Kepler-356 b",2014,"Transit"
"Kepler-354 d",2014,"Transit"
"Kepler-313 c",2014,"Transit"
"Kepler-142 b",2014,"Transit"
"Kepler-487 b",2016,"Transit"
"Kepler-506 b",2016,"Transit"
"K2-419 A b",2024,"Transit"
"TOI-4794 b",2025,"Transit"
"K2-398 c",2022,"Transit"
"Kepler-299 e",2014,"Transit"
"Kepler-372 b",2014,"Transit"
"Kepler-378 c",2014,"Transit"
"Kepler-357 c",2014,"Transit"
"Kepler-308 c",2014,"Transit"
"Kepler-124 b",2014,"Transit"
"Kepler-235 b",2014,"Transit"
"Kepler-392 c",2014,"Transit"
"Kepler-360 c",2014,"Transit"
"Kepler-363 b",2014,"Transit"
"Kepler-319 d",2014,"Transit"
"Kepler-319 b",2014,"Transit"
"Kepler-398 c",2014,"Transit"
"Kepler-399 b",2014,"Transit"
"Kepler-379 b",2014,"Transit"
"Kepler-198 b",2014,"Transit"
"Kepler-372 d",2014,"Transit"
"Kepler-146 b",2014,"Transit"
"Kepler-250 b",2014,"Transit"
"Kepler-390 c",2014,"Transit"
"Kepler-373 c",2014,"Transit"
"Kepler-326 b",2014,"Transit"
"Kepler-325 c",2014,"Transit"
"Kepler-46 d",2014,"Transit"
"Kepler-142 c",2014,"Transit"
"Kepler-374 d",2014,"Transit"
"Kepler-375 b",2014,"Transit"
"Kepler-256 b",2014,"Transit"
"Kepler-327 d",2014,"Transit"
"Kepler-403 c",2014,"Transit"
"Kepler-209 c",2014,"Transit"
"Kepler-246 c",2014,"Transit"
"Kepler-250 d",2014,"Transit"
"Kepler-376 b",2014,"Transit"
"Kepler-380 c",2014,"Transit"
"Kepler-130 d",2014,"Transit"
"Kepler-252 b",2014,"Transit"
"Kepler-255 b",2014,"Transit"
"Kepler-381 b",2014,"Transit"
"Kepler-383 c",2014,"Transit"
"Kepler-331 d",2014,"Transit"
"Kepler-333 c",2014,"Transit"
"HATS-33 b",2016,"Transit"
"TOI-2154 b",2023,"Transit"
"TOI-4666 b",2025,"Transit"
"WASP-194 b",2025,"Transit"
"HD 147379 b",2017,"Radial Velocity"
"TOI-2338 b",2023,"Transit"
"Kepler-1979 b",2023,"Transit"
"K2-407 c",2022,"Transit"
"K2-55 b",2016,"Transit"
"K2-60 b",2016,"Transit"
"Kepler-405 c",2014,"Transit"
"Kepler-256 d",2014,"Transit"
"Kepler-258 c",2014,"Transit"
"Kepler-387 c",2014,"Transit"
"Kepler-334 d",2014,"Transit"
"Kepler-336 b",2014,"Transit"
"Kepler-149 c",2014,"Transit"
"Kepler-393 c",2014,"Transit"
"Kepler-292 c",2014,"Transit"
"Kepler-337 b",2014,"Transit"
"Kepler-338 c",2014,"Transit"
"K2-405 b",2022,"Transit"
"TOI-1346 c",2025,"Transit"
"Kepler-102 d",2014,"Transit"
"HD 20329 b",2022,"Transit"
